"S.No","Vehicle Number","Vehicle Type","Route ID","Route Name","Ward Name","Route Length(KM)","Route Covered(KM)","Total Distance(KM)","Route Coverage(%)","Route In Time","Route Out Time","Route Time"
1,"M271 UP85ET 7847_C","Primary - Auto Tipper",713,"W65R4","65","0.59","0.56","22.01","95.04%","07:20 AM","11:13 AM","3:53"
2,"M092 UP14PT7727_C","Primary - Auto Tipper",531,"W2R2(C)","2","1.09","0.96","38.55","88.38%","08:40 AM","12:28 PM","3:48"
3,"M196 DL51GD9113_C","Primary - Auto Tipper",717,"W67R4","67","1.18","1.03","20.51","87.86%","08:26 AM","10:39 AM","2:13"
4,"RJ06GD5309","Primary - Auto Tipper",688,"W64R1","19","1.21","1.01","23.83","83.62%","06:55 AM","11:38 AM","4:42"
5,"M262 UP85ET 7851","Primary - Auto Tipper",693,"W56R5","56","0.33","0.26","25.96","78.33%","08:13 AM","10:01 AM","1:47"
6,"M278 UP85ET 7840","Primary - Auto Tipper",732,"W9R2","9","2.93","2.23","39.56","76.05%","07:53 AM","11:02 AM","3:08"
7,"M132    UP85AG0770","Primary - Auto Tipper",579,"W35R1","35","1.04","0.78","16.50","75.07%","07:47 AM","01:17 PM","5:30"
8,"M233 UP85ET 7835","Primary - Auto Tipper",700,"W59R2","59","2.35","1.72","35.93","73.31%","08:05 AM","10:37 AM","2:31"
9,"RJ06GD5343","Auto Tipper",603,"W18R1","18","2.03","1.45","20.66","71.62%","06:54 AM","01:47 PM","6:52"
10,"M053 UP85AG0769","Primary - Auto Tipper",690,"W56R2","56","1.47","1.05","20.99","71.27%","07:59 AM","11:33 AM","3:33"
11,"UP14PT7749","Primary - Auto Tipper",710,"W65R1","65","0.93","0.66","31.00","70.84%","07:16 AM","01:51 PM","6:35"
12,"M079   UP85AG0754","Primary - Auto Tipper",665,"W47R3","47","3.12","2.21","14.30","70.82%","08:20 AM","11:12 AM","2:52"
13,"UP85AG0777","Primary - Auto Tipper",711,"W59R1","59","6.53","4.61","21.68","70.64%","08:14 AM","11:08 AM","2:54"
14,"M061 UP85AG0801","Primary - Auto Tipper",616,"W24R5","29","5.12","3.55","17.79","69.37%","08:16 AM","11:07 AM","2:50"
15,"M009 UP14PT7717","Primary - Auto Tipper",636,"W30R1","30","4.33","3.00","26.23","69.15%","07:35 AM","12:53 PM","5:17"
16,"DL51GD9441","Primary - Three Wheeler (ER)",633,"W34R3","34","5.73","3.93","25.29","68.51%","08:21 AM","01:03 PM","4:41"
17,"M077  UP85AG0761_C","Primary - Auto Tipper",643,"W37R1","37","5.41","3.68","8.57","68.10%","08:30 AM","12:37 PM","4:06"
18,"UP14PT7948","Primary - Auto Tipper",510,"W15R1","15","7.51","5.08","54.61","67.63%","09:03 AM","12:25 PM","3:21"
19,"M017 UP14PT7724","Primary - Auto Tipper",671,"W55R3","46","6.26","4.18","39.38","66.73%","08:06 AM","12:15 PM","4:08"
20,"UP85AG0964","Primary - Auto Tipper",619,"W25R1","25","11.95","7.75","51.89","64.90%","07:45 AM","10:32 AM","2:47"
21,"M127   UP85AG0762","Primary - Auto Tipper",653,"W30R2","30","6.20","4.01","27.26","64.74%","07:47 AM","12:59 PM","5:12"
22,"M264 UP85ET 7867","Primary - Auto Tipper",585,"W66R1","66","3.74","2.40","12.00","64.17%","07:58 AM","10:53 AM","2:54"
23,"M027 UP14PT8097","Primary - Auto Tipper",514,"W18R2","10","0.85","0.54","37.25","63.50%","07:12 AM","11:24 AM","4:12"
24,"M268 UP85ET 7848","Primary - Auto Tipper",501,"W10R1","10","12.20","7.59","70.34","62.26%","07:54 AM","12:00 PM","4:05"
25,"M045  UP85AG0890_C","Primary - Auto Tipper",655,"W49R4","49","2.21","1.38","21.69","62.24%","07:48 AM","12:17 PM","4:29"
26,"M095    UP85AG0788","Primary - Auto Tipper",549,"W39R2","39","7.83","4.87","27.40","62.22%","08:21 AM","01:19 PM","4:58"
27,"UP85AG0752","Primary - Auto Tipper",640,"W24R2","24","7.24","4.48","23.55","61.87%","09:14 AM","02:13 PM","4:58"
28,"M191 UP85AG0948","Primary - Auto Tipper",725,"W63R1","63","4.87","2.95","29.67","60.61%","07:53 AM","11:21 AM","3:28"
29,"MUP85AG0798","Primary - Auto Tipper",687,"W55R2","55","5.47","3.29","39.23","60.18%","06:58 AM","09:39 AM","2:41"
30,"DL51GD9456","Primary - Three Wheeler (ER)",668,"W51ER5","51","7.29","4.38","15.66","60.09%","08:13 AM","10:57 AM","2:43"
31,"M038 UP14PT7753","Primary - Auto Tipper",684,"W49R2","44","3.77","2.24","30.31","59.43%","07:29 AM","12:42 PM","5:12"
32,"M265 UP14PT8095","Primary - Auto Tipper",632,"W34R2","34","8.56","5.06","26.96","59.06%","08:02 AM","12:47 PM","4:45"
33,"UP85AG0756","Primary - Auto Tipper",552,"W41R3","57","2.13","1.24","66.97","58.08%","07:46 AM","10:07 AM","2:20"
34,"M273 UP85ET 7846","Primary - Auto Tipper",606,"W1R3","6","1.93","1.10","39.48","57.03%","09:19 AM","09:44 AM","0:25"
35,"M006 UP14PT8096","Primary - Auto Tipper",612,"W16R4","4","4.95","2.81","31.13","56.83%","08:26 AM","10:49 AM","2:22"
36,"M078   UP85AG0757","Primary - Auto Tipper",555,"W43R4","4","7.90","4.45","29.05","56.25%","08:03 AM","11:56 AM","3:52"
37,"M054 UP14PT7728","Primary - Auto Tipper",712,"W65R3","65","1.97","1.11","31.89","56.12%","07:05 AM","02:06 PM","7:01"
38,"UP85FT2581","Primary - Auto Tipper",558,"W4R2","4","8.88","4.97","910.45","55.97%","08:38 AM","11:49 AM","3:11"
39,"M238 UP85ET 7831","Primary - Auto Tipper",543,"W36R1","36","7.38","4.06","36.00","54.93%","08:38 AM","11:21 AM","2:43"
40,"M112   UP85AG0885_C","Primary - Auto Tipper",613,"W23R2","6","3.43","1.88","18.88","54.88%","07:57 AM","11:53 AM","3:55"
41,"M256 UP85ET 7861","Primary - Auto Tipper",509,"W14R1","14","7.85","4.29","39.98","54.67%","08:24 AM","12:16 PM","3:51"
42,"M257 UP85ET 7845","Primary - Auto Tipper",442,"W3R3","48","4.91","2.67","40.65","54.36%","09:21 AM","11:32 AM","2:10"
43,"M051 UP85AG0892","Primary - Auto Tipper",566,"W49R1","49","2.20","1.18","31.18","53.40%","08:09 AM","11:26 AM","3:16"
44,"M181 UP85AG0763","Primary - Auto Tipper",676,"W52R1","52","7.68","4.09","29.69","53.26%","07:15 AM","02:20 PM","7:05"
