"S.No.","Ward Name","Area","Residential Customer","Commercial Customer","Industrial Customer","Institutional Customer","Customer Count"
1,"1","01-Birjapur",1196,107,0,1,1304
2,"2","02-Ambedkar Nagar",959,176,1,3,1139
3,"3","03-Girdharpur",1040,8,0,1,1049
4,"4","04-Ishapur Yamunapar",938,46,0,0,984
5,"5","05-Bharatpur Gate",123,124,0,0,247
6,"6","06-Aduki",1458,118,0,0,1576
7,"7","07-Lohvan",1196,63,0,0,1259
8,"8","08-Atas",540,7,0,1,548
9,"9","09-Gandhi Nagar",330,193,0,0,523
10,"10","10-Aurangabad First",605,28,0,0,633
11,"11","11-Tarsi",226,159,0,1,386
12,"12","12-Radhe Shyam Colony",1829,149,1,0,1979
13,"13","13-Sunrakh",592,228,0,0,820
14,"14","14-Lakshmi Nagar Yamunapar",810,269,0,0,1079
15,"15","15-Maholi First",1050,193,1,2,1246
16,"16","16-Bakalpur",2218,463,2,1,2684
17,"17","17-Bairaagpura",702,367,0,1,1070
18,"18","18-General ganj",602,363,0,0,965
19,"19","19-Ramnagar Yamunapar",975,640,0,1,1616
20,"20","20-Krishna Nagar First",676,485,0,0,1161
21,"21","21-Chaitanya Bihar",1703,524,0,1,2228
22,"22","22-Badhri Nagar",697,112,0,0,809
23,"23","23-Aheer Pada",552,19,0,0,571
24,"24","24-Sarai Azamabad",1675,134,5,1,1815
25,"25","25-Chharaura",1222,119,0,0,1341
26,"26","26-Naya Nagla",320,147,0,0,467
27,"27","27-Baad",1414,55,1,1,1471
28,"28","28-Aurangabad Second",725,75,1,0,801
29,"29","29-Koyla Alipur",137,6,0,0,143
30,"30","30-Krishna Nagar Second",453,307,0,0,760
31,"31","31-Navneet Nagar",952,86,0,2,1040
32,"32","32-Ranchibagar",847,106,0,1,954
33,"33","33-Palikhera",2019,110,0,1,2130
34,"34","34-Radhaniwas",2191,69,0,0,2260
35,"35","35-Bankhandi",301,184,0,0,485
36,"36","36-Jaisingh Pura",589,77,0,0,666
37,"37","37-Baldevpuri",1022,79,0,0,1101
38,"38","38-Civil Lines",573,65,0,2,640
39,"39","39-Mahavidhya Colony",849,127,0,0,976
40,"40","40-Rajkumar",350,165,0,0,515
41,"41","41-Dhaulipiau",1043,131,1,3,1178
42,"42","42-Manoharpur",340,52,0,0,392
43,"43","43-Ganeshra",1084,101,1,0,1186
44,"44","44-Radhika Bihar",933,38,0,1,972
45,"45","45-Birla Mandir",1225,90,0,0,1315
46,"46","46-Radha Nagar",83,49,0,1,133
47,"47","47-Dwarkapuri",936,111,0,3,1050
48,"48","48-Satoha Asangpur",639,6,0,0,645
49,"49","49-Daimpiriyal Nagar",237,185,0,1,423
50,"50","50-Patharpura",471,130,0,0,601
51,"51","51-Gaushala Nagar",2070,327,0,8,2405
52,"52","52-Chandrapuri",1339,86,3,3,1431
53,"53","53-Krishna Puri",343,111,0,0,454
54,"54","54-Pratap Nagar",1558,58,0,1,1617
55,"55","55-Govind Nagar",960,80,0,2,1042
56,"56","56-Mandi Randas",219,140,0,0,359
57,"57","57-Balajipuram",1901,49,0,0,1950
58,"58","58-Gau Ghat",283,56,0,2,341
59,"59","59-Maholi Second",556,52,0,3,611
60,"60","60-Jagannath Puri",975,341,0,14,1330
61,"61","61-Chaubia Para",340,329,0,0,669
62,"62","62-Mathura Darwaza",422,235,0,0,657
63,"63","63-Maliyaan Sadar",931,63,0,1,995
64,"64","64-Ghati Bahalray",96,118,0,0,214
65,"65","65-Holi Gali",167,442,0,0,609
66,"66","66-Keshighat",434,261,0,1,696
67,"67","67-Kemar Van",451,368,0,0,819
68,"68","68-Shanti Nagar",579,113,6,8,706
69,"69","69-Ratan Chhatri",288,213,0,0,501
70,"70","70-Biharipur",313,359,0,0,672
