"S.No.","Zone & Circle","Ward Name","Vehicle Number","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time"
"1","1","65-Holi Gali","M054 UP14PT7728","W65R3","153","153","0","100","04-01-2026","06:41 AM","01:10 PM"
"2","3","59-Maholi Second","M233 UP85ET 7835","W59R2","112","112","0","100","04-01-2026","08:27 AM","09:22 AM"
"3","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","96","96","0","100","09-01-2026","08:21 AM","11:01 AM"
"4","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","95","95","0","100","04-01-2026","08:10 AM","09:32 AM"
"5","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","95","95","0","100","06-01-2026","07:31 AM","09:54 AM"
"6","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","94","94","0","100","02-01-2026","08:07 AM","10:07 AM"
"7","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","94","94","0","100","01-01-2026","07:43 AM","10:14 AM"
"8","1","64-Ghati Bahalray","RJ06GD1038","W64R1","92","92","0","100","02-01-2026","07:04 AM","11:10 AM"
"9","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","04-01-2026","07:35 AM","10:16 AM"
"10","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","06-01-2026","08:12 AM","11:01 AM"
"11","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","05-01-2026","08:06 AM","10:45 AM"
"12","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","08-01-2026","08:05 AM","10:38 AM"
"13","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","03-01-2026","07:42 AM","10:17 AM"
"14","3","59-Maholi Second","UP85AG0777","W59R3","77","77","0","100","07-01-2026","07:39 AM","10:32 AM"
"15","2","56-Mandi Randas","M016 UP14PT7747","W56R3","57","57","0","100","02-01-2026","07:45 AM","11:08 AM"
"16","2","56-Mandi Randas","M016 UP14PT7747","W56R3","57","57","0","100","05-01-2026","07:02 AM","10:43 AM"
"17","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","21","0","100","09-01-2026","08:15 AM","11:06 AM"
"18","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","21","0","100","03-01-2026","07:45 AM","08:41 AM"
"19","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","21","0","100","05-01-2026","09:17 AM","11:31 AM"
"20","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","21","0","100","02-01-2026","07:48 AM","09:43 AM"
"21","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","21","0","100","06-01-2026","08:19 AM","08:53 AM"
"22","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","12","12","0","100","06-01-2026","08:00 AM","08:48 AM"
"23","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","12","12","0","100","04-01-2026","07:11 AM","09:14 AM"
"24","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","12","12","0","100","08-01-2026","07:35 AM","09:58 AM"
"25","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","12","12","0","100","07-01-2026","07:00 AM","08:57 AM"
"26","2","56-Mandi Randas","M262 UP85ET 7851","W56R5","11","11","0","100","06-01-2026","09:00 AM","09:38 AM"
"27","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","11","11","0","100","02-01-2026","07:15 AM","08:42 AM"
"28","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","11","11","0","100","03-01-2026","07:14 AM","08:48 AM"
"29","4","34-Radhaniwas","DL51GD9441","W34R3","557","555","2","99","03-01-2026","09:22 AM","01:31 PM"
"30","2","30-Krishna Nagar Second","M009 UP14PT7717","W30R1","158","157","1","99","03-01-2026","08:26 AM","09:58 AM"
"31","2","30-Krishna Nagar Second","M009 UP14PT7717","W30R1","158","157","1","99","01-01-2026","07:46 AM","09:27 AM"
"32","3","59-Maholi Second","UP85AG0777","W59R1","303","301","2","99","05-01-2026","07:54 AM","10:57 AM"
"33","3","32-Ranchibagar","M129   UP85AG0780","W32R2","307","304","3","99","01-01-2026","07:10 AM","10:34 AM"
"34","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","94","93","1","98","03-01-2026","09:10 AM","11:20 AM"
"35","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","79","1","98","09-01-2026","07:45 AM","10:10 AM"
"36","2","30-Krishna Nagar Second","M009 UP14PT7717","W30R1","158","156","2","98","02-01-2026","07:41 AM","12:53 PM"
"37","3","27-Baad","M116 UP85AG0768","W27R5","621","613","8","98","01-01-2026","08:11 AM","12:15 PM"
"38","3","59-Maholi Second","UP85AG0777","W59R3","77","76","1","98","04-01-2026","07:57 AM","09:01 AM"
"39","2","39-Mahavidhya Colony","M095    UP85AG0788","W39R2","303","299","4","98","02-01-2026","08:14 AM","11:21 AM"
"40","2","24-Sarai Azamabad","M096   UP85AG0894","W24R3","468","461","7","98","03-01-2026","07:31 AM","12:34 PM"
"41","4","66-Keshighat","M264 UP85ET 7867","W66R1","185","182","3","98","03-01-2026","08:13 AM","11:02 AM"
"42","3","32-Ranchibagar","M129   UP85AG0780","W32R2","308","303","5","98","06-01-2026","07:58 AM","11:00 AM"
"43","2","39-Mahavidhya Colony","M095    UP85AG0788","W39R2","303","298","5","98","03-01-2026","08:08 AM","11:34 AM"
"44","3","59-Maholi Second","UP85AG0777","W59R1","283","278","5","98","01-01-2026","07:40 AM","10:46 AM"
"45","2","47-Dwarkapuri","M079   UP85AG0754","W47R3","161","158","3","98","08-01-2026","08:27 AM","12:40 PM"
"46","2","39-Mahavidhya Colony","M095    UP85AG0788","W39R2","303","297","6","98","04-01-2026","08:03 AM","11:09 AM"
