"S.No.","Zone & Circle","Ward Name","Vehicle Number","Route Name","Total","Covered","Not Covered","Coverage","Date","Start Time","End Time"
"1","1","65-Holi Gali","M054 UP14PT7728","W65R3","96","96","0","100","19-12-2025","06:53 AM","10:13 AM"
"2","3","29-Koyla Alipur","M116 UP85AG0768","W29R1","17","17","0","100","19-12-2025","08:14 AM","08:36 AM"
"3","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","6","6","0","100","19-12-2025","07:24 AM","09:02 AM"
"4","2","39-Mahavidhya Colony","M095    UP85AG0788","W39R2","299","295","4","98","19-12-2025","07:55 AM","10:49 AM"
"5","2","30-Krishna Nagar Second","M009 UP14PT7717","W30R1","144","141","3","97","19-12-2025","08:51 AM","10:14 AM"
"6","2","55-Govind Nagar","MUP85AG0798","W55R4","294","285","9","96","19-12-2025","06:45 AM","09:02 AM"
"7","3","28-Aurangabad Second","M081  UP85AG0893_C","W28R2","188","182","6","96","19-12-2025","07:28 AM","08:55 AM"
"8","3","33-Palikhera","M091 UP85AG0778","W33R4","71","68","3","95","19-12-2025","07:58 AM","10:08 AM"
"9","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","22","21","1","95","19-12-2025","08:13 AM","10:12 AM"
"10","3","32-Ranchibagar","M129   UP85AG0780","W32R4","149","142","7","95","19-12-2025","07:34 AM","08:53 AM"
"11","1","35-Bankhandi","M132    UP85AG0770","W35R1","138","131","7","94","19-12-2025","07:36 AM","08:23 AM"
"12","3","01-Birjapur","M014 UP14PT7936","W1R2","568","533","35","93","19-12-2025","07:28 AM","10:02 AM"
"13","2","55-Govind Nagar","M017 UP14PT7724","W55R3","125","117","8","93","19-12-2025","07:32 AM","11:09 AM"
"14","3","15-Maholi First","M057 UP85AG0774","W15R3","238","220","18","92","19-12-2025","09:32 AM","11:11 AM"
"15","1","22-Badhri Nagar","DL5TGD9454","W22R2","269","246","23","91","19-12-2025","07:57 AM","11:17 AM"
"16","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","170","155","15","91","19-12-2025","07:52 AM","10:47 AM"
"17","1","65-Holi Gali","M117   UP85AG0765_C","W65R2","41","37","4","90","19-12-2025","07:05 AM","11:13 AM"
"18","3","15-Maholi First","UP14PT7948","W15R1","213","192","21","90","19-12-2025","07:29 AM","09:30 AM"
"19","2","37-Baldevpuri","M077  UP85AG0761_C","W37R1","394","351","43","89","19-12-2025","08:49 AM","11:16 AM"
"20","1","07-Lohvan","M259 UP85ET 7852","W7R1","478","424","54","88","19-12-2025","07:22 AM","11:10 AM"
"21","3","52-Chandrapuri","M235 UP85ET 7838_C","W52R2","268","236","32","88","19-12-2025","07:57 AM","10:18 AM"
"22","2","30-Krishna Nagar Second","M127   UP85AG0762","W30R2","391","344","47","87","19-12-2025","08:06 AM","11:17 AM"
"23","1","53-Krishna Puri","M055 UP85AG0891_C","W53R1","192","168","24","87","19-12-2025","07:12 AM","09:23 AM"
"24","4","34-Radhaniwas","M265 UP14PT8095","W34R2","221","192","29","86","19-12-2025","08:39 AM","11:12 AM"
"25","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","263","228","35","86","19-12-2025","07:51 AM","11:11 AM"
"26","2","39-Mahavidhya Colony","M056 UP85AG0963","W39R1","285","247","38","86","19-12-2025","07:57 AM","10:24 AM"
"27","2","12-Radhe Shyam Colony","M004 UP14PT7951","W12R4","551","476","75","86","19-12-2025","07:06 AM","09:56 AM"
"28","4","51-Gaushala Nagar","M244 UP85AG0789_C","W51R4","273","235","38","86","19-12-2025","08:37 AM","10:52 AM"
"29","4","69-Ratan Chhatri","M197 DL51GD9401_C","W69R3","35","30","5","85","19-12-2025","10:45 AM","11:06 AM"
"30","3","38-Civil Lines","M065 UP85AG0888","W38R1","206","176","30","85","19-12-2025","07:48 AM","10:21 AM"
"31","2","56-Mandi Randas","M137 UP85AG0954_BREAKDOWN","W56R1_COMMERCIAL","41","35","6","85","19-12-2025","10:43 AM","10:46 AM"
"32","4","34-Radhaniwas","UP85ET 7856","W34R1","204","173","31","84","19-12-2025","07:07 AM","10:49 AM"
"33","2","45-Birla Mandir","M173 UP85AG0884","W45R4","72","61","11","84","19-12-2025","07:41 AM","08:45 AM"
"34","4","66-Keshighat","MR028-70148226","W66R2","63","53","10","84","19-12-2025","07:29 AM","09:59 AM"
"35","1","04-Ishapur Yamunapar","55670","W4R2","203","169","34","83","19-12-2025","08:05 AM","10:58 AM"
"36","2","37-Baldevpuri","M254 UP85ET 7853","W37R2","590","490","100","83","19-12-2025","07:39 AM","10:58 AM"
"37","2","44-Radhika Bihar","M012 UP14PT7946","W44R1","355","294","61","82","19-12-2025","08:01 AM","10:39 AM"
"38","1","61-Chaubia Para","MR019-70148606","W61WBR4","23","19","4","82","19-12-2025","07:39 AM","11:00 AM"
"39","4","51-Gaushala Nagar","M244 UP85AG0789_C","W51R3","333","275","58","82","19-12-2025","07:57 AM","10:34 AM"
"40","4","08-Atas","M204 UP85AG0955","W8R1","135","111","24","82","19-12-2025","08:18 AM","10:02 AM"
"41","2","36-Jaisingh Pura","M019 UP14PT7945","W36R2","258","211","47","81","19-12-2025","07:30 AM","09:57 AM"
"42","2","20-Krishna Nagar First","M229   UP85AG0792_C","W20R2","417","341","76","81","19-12-2025","07:43 AM","10:11 AM"
"43","2","60-Jagannath Puri","M266 UP85ET 7864","W60R1","370","302","68","81","19-12-2025","07:48 AM","11:13 AM"
"44","2","39-Mahavidhya Colony","M142 UP85ET 7844","W39R3","200","163","37","81","19-12-2025","08:21 AM","10:10 AM"
"45","4","21-Chaitanya Bihar","M277 UP85ET 7842","W21R9","153","124","29","81","19-12-2025","08:40 AM","09:51 AM"
"46","2","45-Birla Mandir","M058 UP85AG0950","W45R1","155","125","30","80","19-12-2025","07:48 AM","09:25 AM"
"47","1","42-Manoharpur","M011 DL51EV0215","W42R2","46","37","9","80","19-12-2025","08:10 AM","10:33 AM"
"48","3","27-Baad","M179 UP85AG0720_C","W27R1","394","316","78","80","19-12-2025","06:58 AM","10:00 AM"
"49","1","19-Ramnagar Yamunapar","M023 UP14PT7726","W19R1","169","134","35","79","19-12-2025","08:03 AM","11:05 AM"
"50","3","06-Aduki","M223 UP85AG0959","W6R5","336","265","71","78","19-12-2025","07:08 AM","10:20 AM"
"51","2","43-Ganeshra","M036 UP14PT8105_C","W43R2","332","260","72","78","19-12-2025","07:35 AM","10:46 AM"
"52","1","63-Maliyaan Sadar","M191 UP85AG0948","W63R1","322","251","71","77","19-12-2025","07:43 AM","11:16 AM"
"53","2","24-Sarai Azamabad","M040 UP14PT7938","W24R6","54","42","12","77","19-12-2025","09:45 AM","11:17 AM"
"54","3","59-Maholi Second","UP85AG0777","W59R1","247","192","55","77","19-12-2025","07:51 AM","10:45 AM"
"55","4","70-Biharipur","M260 UP85ET 7859","W70R1","30","23","7","76","19-12-2025","07:47 AM","08:52 AM"
"56","1","19-Ramnagar Yamunapar","RJ06GD5309","W19R2","269","202","67","75","19-12-2025","07:29 AM","11:11 AM"
"57","2","54-Pratap Nagar","M087  UP85AG0785","W54R1","613","460","153","75","19-12-2025","07:51 AM","10:35 AM"
"58","1","63-Maliyaan Sadar","M180 UP85AG0685","W63R2","315","236","79","74","19-12-2025","08:09 AM","10:19 AM"
"59","1","19-Ramnagar Yamunapar","M115 UP85AG0887_C","W19R3","187","139","48","74","19-12-2025","07:34 AM","11:13 AM"
"60","4","51-Gaushala Nagar","8106","W51R2","691","511","180","73","19-12-2025","06:32 AM","09:23 AM"
"61","4","34-Radhaniwas","UP85ET 7856","W34R4","397","293","104","73","19-12-2025","07:42 AM","10:25 AM"
"62","4","21-Chaitanya Bihar","M105   UP85AG0800","W21R3","127","93","34","73","19-12-2025","09:59 AM","11:18 AM"
"63","4","25-Chharaura","M267 UP85ET 7855","W25R2","349","255","94","73","19-12-2025","07:48 AM","10:32 AM"
