"S.No","Zone & Circle","Vehicle Number","Vehicle Type","Ward Name","Trip Count","Dump Site Name","Date","In Time(s)","Out Time(s)","Vehicle Route","TAT"
"1","4","UP85FT2585","Primary - Auto Tipper","62-Mathura Darwaza","1","FCTS PLANT","13-02-2026","11:15 AM","12:15 PM","W62R1","59"
"2","4","UP85FT2584","Primary - Auto Tipper","62-Mathura Darwaza","4","FCTS PLANT","13-02-2026","06:17 AM | 07:57 AM | 10:10 AM | 12:53 PM","07:00 AM | 07:58 AM | 10:59 AM | 12:54 PM","W69R2","23"
"3","1","UP85FT2581","Primary - Auto Tipper","04-Ishapur Yamunapar","2","Mathura MSW Plant","13-02-2026","11:37 AM | 11:46 AM","11:39 AM | 11:52 AM","W4R2","3"
"4","1","UP85FT2580","Primary - Auto Tipper","68-Shanti Nagar","1","Mathura MSW Plant","13-02-2026","12:50 PM","12:51 PM","","1"
"5","1","UP85FT2580","Primary - Auto Tipper","68-Shanti Nagar","1","AgraVatika","13-02-2026","12:00 PM","12:04 PM","","3"
"6","2","UP85FT2577","Primary - Auto Tipper","46-Radha Nagar","1","Mathura MSW Plant","13-02-2026","10:33 AM","10:34 AM","W46R1","1"
"7","2","UP85FT 2574","Primary - Auto Tipper","17-Bairaagpura","2","Mathura MSW Plant","13-02-2026","08:56 AM | 11:08 AM","08:57 AM | 11:09 AM","","1"
"8","4","UP85ET7857","Primary - Auto Tipper","67-Kemar Van","3","FCTS PLANT","13-02-2026","09:29 AM | 12:22 PM | 02:37 PM","09:38 AM | 12:44 PM | 03:11 PM","W67R2","21"
"9","4","UP85ET 7856","Primary - Auto Tipper","34-Radhaniwas","2","FCTS PLANT","13-02-2026","09:41 AM | 11:55 AM","09:44 AM | 12:01 PM","W34R1","4"
"10","4","UP85ET7855","Primary - Auto Tipper","25-Chharaura","1","FCTS PLANT","13-02-2026","09:02 AM","09:04 AM","W25R2","1"
"11","3","UP85AT4023","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","10:06 AM | 12:14 PM","10:09 AM | 12:16 PM","","2"
"12","4","UP85AG0964","Primary - Auto Tipper","25-Chharaura","2","FCTS PLANT","13-02-2026","06:43 AM | 07:39 AM","06:46 AM | 07:40 AM","W25R1","2"
"13","3","UP85AG0949","Primary - Auto Tipper","52-Chandrapuri","1","Mathura MSW Plant","13-02-2026","10:08 AM","10:12 AM","W45R1","4"
"14","3","UP85AG0879","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","08:46 AM | 10:41 AM","08:47 AM | 10:43 AM","","1"
"15","3","UP85AG0879","Secondary - Tractor Trolley","01-Birjapur","1","RC veeresh","13-02-2026","09:12 AM","09:37 AM","","24"
"16","3","UP85AG0876","Secondary - Tractor Trolley","01-Birjapur","3","Mathura MSW Plant","13-02-2026","08:07 AM | 08:50 AM | 11:27 AM","08:11 AM | 08:52 AM | 11:29 AM","","2"
"17","3","UP85AG0851","Secondary - Dumper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","09:49 AM | 12:35 PM","09:52 AM | 12:36 PM","","1"
"18","3","UP85AG0850","Secondary - Dumper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","11:18 AM | 01:40 PM","11:22 AM | 01:45 PM","","3"
"19","3","UP85AG0849","Secondary - Dumper","01-Birjapur","1","RC Sonveer","13-02-2026","11:49 AM","11:58 AM","","9"
"20","3","UP85AG0849","Secondary - Dumper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","10:47 AM | 12:46 PM","10:49 AM | 12:49 PM","","2"
"21","3","UP85AG0848","Secondary - Dumper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","10:37 AM","10:38 AM","","1"
"22","3","UP85AG0848","Secondary - Dumper","01-Birjapur","3","FCTS PLANT","13-02-2026","07:09 AM | 09:08 AM | 01:02 PM","07:18 AM | 09:43 AM | 01:09 PM","","16"
"23","3","UP85AG0841","Secondary - JCB 3DX","01-Birjapur","1","RC veeresh","13-02-2026","08:54 AM","09:35 AM","","41"
"24","2","UP85AG0825","Secondary - Dumper","60-Jagannath Puri","3","FCTS PLANT","13-02-2026","07:48 AM | 01:23 PM | 02:40 PM","07:54 AM | 01:25 PM | 02:44 PM","","4"
"25","4","UP85AG0823","Secondary - Hook Loader","70-Biharipur","2","FCTS PLANT","13-02-2026","11:02 AM | 12:42 PM","11:09 AM | 01:17 PM","","20"
"26","4","UP85AG0823","Secondary - Hook Loader","70-Biharipur","2","Mathura MSW Plant","13-02-2026","11:54 AM | 02:14 PM","11:55 AM | 02:18 PM","","2"
"27","4","UP85AG0822","Secondary - Dumper","67-Kemar Van","2","Mathura MSW Plant","13-02-2026","09:08 AM | 11:03 AM","09:12 AM | 11:08 AM","","4"
"28","3","UP85AG0821","Secondary - Dumper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","11:21 AM | 01:23 PM","11:22 AM | 01:27 PM","","2"
"29","3","UP85AG0820","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","08:17 AM | 09:02 AM","08:19 AM | 09:03 AM","","1"
"30","3","UP85AG0819","Secondary - Tractor Loader","01-Birjapur","1","Mathura MSW Plant","13-02-2026","11:37 AM","11:40 AM","","3"
"31","3","UP85AG0817","Secondary - Tractor Trolley","01-Birjapur","4","Mathura MSW Plant","13-02-2026","08:52 AM | 11:24 AM | 12:42 PM | 01:38 PM","08:58 AM | 11:26 AM | 12:45 PM | 01:46 PM","","4"
"32","3","UP85AG0816","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","08:37 AM | 10:30 AM","08:45 AM | 10:35 AM","","6"
"33","3","UP85AG0777","Primary - Auto Tipper","59-Maholi Second","2","RC Sonveer","13-02-2026","10:16 AM | 11:19 AM","10:22 AM | 11:25 AM","W59R1","6"
"34","2","UP85AG0752","Primary - Auto Tipper","24-Sarai Azamabad","3","AgraVatika","13-02-2026","09:31 AM | 10:34 AM | 10:54 AM","09:36 AM | 10:36 AM | 11:05 AM","W24R2","5"
"35","3","UP85AG0747","Secondary - Tractor Loader","01-Birjapur","4","Mathura MSW Plant","13-02-2026","09:08 AM | 09:16 AM | 11:28 AM | 01:47 PM","09:09 AM | 09:25 AM | 11:35 AM | 01:49 PM","","4"
"36","3","UP85AG0746","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","08:40 AM | 10:30 AM","08:42 AM | 10:32 AM","","2"
"37","3","UP85AG0744","Secondary - Tractor Trolley","01-Birjapur","3","Mathura MSW Plant","13-02-2026","08:19 AM | 10:25 AM | 12:18 PM","08:22 AM | 10:27 AM | 12:22 PM","","2"
"38","3","UP85AG0743","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","08:34 AM | 12:10 PM","08:39 AM | 12:15 PM","","5"
"39","1","UP85AG0727","Secondary - Refuse Compactor (RC)","02-Ambedkar Nagar","1","Mathura MSW Plant","13-02-2026","01:52 PM","01:55 PM","","2"
"40","2","UP85AG0725","Secondary - Refuse Compactor (RC)","12-Radhe Shyam Colony","1","RC veeresh","13-02-2026","07:43 AM","12:31 PM","","287"
"41","2","UP85AG0725","Secondary - Refuse Compactor (RC)","12-Radhe Shyam Colony","2","Mathura MSW Plant","13-02-2026","01:06 PM | 01:15 PM","01:07 PM | 01:16 PM","","1"
"42","4","UP85AG0724","Secondary - Refuse Compactor (RC)","70-Biharipur","1","Mathura MSW Plant","13-02-2026","12:28 PM","12:32 PM","","4"
"43","4","UP85AG0724","Secondary - Refuse Compactor (RC)","70-Biharipur","2","FCTS PLANT","13-02-2026","11:34 AM | 01:46 PM","11:42 AM | 02:10 PM","","16"
"44","3","UP85AG0723","Secondary - Refuse Compactor (RC)","01-Birjapur","1","AgraVatika","13-02-2026","08:17 AM","11:43 AM","","206"
"45","3","UP85AG0723","Secondary - Refuse Compactor (RC)","01-Birjapur","2","Mathura MSW Plant","13-02-2026","12:18 PM | 12:40 PM","12:19 PM | 12:42 PM","","1"
"46","3","UP85AG0722","Secondary - Refuse Compactor (RC)","01-Birjapur","1","RC Sonveer","13-02-2026","08:18 AM","12:11 PM","","232"
"47","3","UP85AG0722","Secondary - Refuse Compactor (RC)","01-Birjapur","1","Mathura MSW Plant","13-02-2026","01:08 PM","01:17 PM","","8"
"48","3","UP85AG0712","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","08:46 AM | 12:07 PM","08:53 AM | 12:12 PM","","5"
"49","1","UP85AG0685","Primary - Auto Tipper","63-Maliyaan Sadar","3","AgraVatika","13-02-2026","09:08 AM | 10:21 AM | 11:20 AM","09:27 AM | 10:34 AM | 11:31 AM","W24R5","13"
"50","1","UP16RT3985","Primary - Euler Tipper","07-Lohvan","1","Mathura MSW Plant","13-02-2026","10:04 AM","10:10 AM","W7R1","5"
"51","3","UP16RT3984","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","12:58 PM","12:59 PM","W38R3","1"
"52","2","UP16RT3982","Primary - Euler Tipper","39-Mahavidhya Colony","1","Mathura MSW Plant","13-02-2026","11:19 AM","11:22 AM","W39R3","2"
"53","3","UP16RT3981","Primary - Euler Tipper","32-Ranchibagar","1","Mathura MSW Plant","13-02-2026","11:53 AM","11:55 AM","W32R3","2"
"54","3","UP16RT3980","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","12:10 PM","12:12 PM","W6R3","2"
