WARD WISE HOUSE HOLDS(AS PER NAGAR NIGAM),,,,,,,
S.NO.,WARD NO.,WARD NAME,"HOUSE HOLD
NAGAR NIGAM",kyc Count,,,
1,1,BIRJAPUR ,3800,1263,,,
2,2,AMBEDKAR NAGAR,1850,1115,,,
3,3,GIRDHARPUR ,4200,1016,,,
4,4,ESHAPUR YAMUNAPAAR ,3900,913,,,
5,5,BHARATPUR GATE ,4010,247,,,
6,6,ADOKI,3000,1541,,,
7,7,LOHVAN ,4100,1253,,,
8,8,AATAS ,3140,450,,,
9,9,GANDHI NAGAR,856,481,,,
10,10,AURANGABAD-FIRST ,2100,582,,,
11,11,TAARASE ,1790,386,,,
12,12,RADHESHYAM COLONY,4712,1868,,,
13,13,SUNRAKH,2737,769,,,
14,14,LAKSHAMI NAGAR YAMUNAPAAR ,1050,1004,,,
15,15,MAHOLI-FIRST,3800,992,,,
16,16,SHIV NAGAR,4950,2496,,,
17,17,BAIRAGPURA,1498,936,,,
18,18,GENRAL  GANJ ,1128,884,,,
19,19,RAMNAGAR YAMUNAPAAR ,3500,1473,,,
20,20,KRISHNA NAGAR FIRST,1700,1118,,,
21,21,CHETANYA VIHAR,3768,2045,,,
22,22,BADRI NAGAR,2117,789,,,
23,23,AHEERPADA ,1950,507,,,
24,24,SARAAY AAJAMABAD,3563,1664,,,
25,25,CHARORA,2672,1312,,,
26,26,NAYAA NAGALA ,4000,449,,,
27,27,BAAD ,1500,1451,,,
28,28,AURANGABAD-SECOND ,2200,778,,,
29,29,KOYALA ALIPUR ,1800,135,,,
30,30,KRISHNA NAGAR 2ND ,1250,692,,,
31,31,NAVNEET NAGAR ,2440,1028,,,
32,32,RANCHI BAAGAR,3000,836,,,
33,33,PAALIKHEDA ,4500,1966,,,
34,34,RADHA NIVAS,2610,2100,,,
35,35,VANKHANDI ,3000,426,,,
36,36,JAISINGHPURA ,4750,664,,,
37,37,BALDEV PURI,1430,1071,,,
38,38,CIVIL LINE ,4027,626,,,
39,39,MAHAVIDYA COLONY,4293,862,,,
40,40,RAJKUMAR ,1332,338,,,
41,41,DHAULIPYAAU,2995,1077,,,
42,42,MANOHARPURA ,5361,307,,,
43,43,GANESHRA ,4647,1127,,,
44,44,RADHIKA VIHAR ,2100,874,,,
45,45,BIRLA MANDIR,5545,1232,,,
46,46,RADHA NAGAR,2248,67,,,
47,47,DWARIKA PURI,2872,925,,,
48,48,SATOHA ASAGARPUR ,3500,507,,,
49,49,DAIMPEYAR NAGAR,3000,337,,,
50,50,PATHAR PURA ,885,488,,,
51,51,GAUSHALA,2140,2399,,,
52,52,CHANDRAPURI ,1795,1266,,,
53,53,KRISHNAPURI ,1200,396,,,
54,54,PARTAP NAGAR ,2920,1496,,,
55,55,GOVIND NAGAR ,3632,986,,,
56,56,MANDI RAMDASH ,3691,329,,,
57,57,BALAJIPURAM ,2000,1940,,,
58,58,GAUGHAAT,2163,283,,,
59,59,MAHOLI-SECOND ,4000,554,,,
60,60,JAGANNATHPURI ,2187,1183,,,
61,61,CHAUBIYAPADA,6000,421,,,
62,62,MATHURA DARVAJA ,756,596,,,
63,63,MALEEYAN SADAR,2000,900,,,
64,64,GHAATI BAHAALRAY ,3000,202,,,
65,65,HOLI GATE ,3200,470,,,
66,66,KESHI GHAT,913,549,,,
67,67,KAIMARVAN,2572,626,,,
68,68,SHANTI NAGAR,2511,658,,,
69,69,RATAN CHATRI ,2965,483,,,
70,70,BIHARIPURA ,465,660,,,
TOTAL,,,197286,63864,,,
