Ward Area,Route ID,Route Name,Route Type
01-Birjapur,W1R1,W1R1,DOOR_TO_DOOR
01-Birjapur,W1R2,W1R2,DOOR_TO_DOOR
01-Birjapur,W1R3,W1R3,DOOR_TO_DOOR
02-Ambedkar Nagar,W2MR1,W2MR1,DOOR_TO_DOOR
02-Ambedkar Nagar,W2R1,W2R1,DOOR_TO_DOOR
02-Ambedkar Nagar,W2R2(C),W2R2(C),DOOR_TO_DOOR
03-Girdharpur,W3R1,W3R1,DOOR_TO_DOOR
03-Girdharpur,W3R2,W3R2,DOOR_TO_DOOR
03-Girdharpur,W3R3,W3R3,DOOR_TO_DOOR
03-Girdharpur,W3R4,W3R4,DOOR_TO_DOOR
04-Ishapur Yamunapar,W4R1,W4R1,DOOR_TO_DOOR
04-Ishapur Yamunapar,W4R2,W4R2,DOOR_TO_DOOR
05-Bharatpur Gate,W5MR1,W5MR1,DOOR_TO_DOOR
05-Bharatpur Gate,W5R1,W5R1,DOOR_TO_DOOR
05-Bharatpur Gate,W5R2,W5R2,DOOR_TO_DOOR
06-Aduki,W6R1,W6R1,DOOR_TO_DOOR
06-Aduki,W6R2,W6R2,DOOR_TO_DOOR
06-Aduki,W6R3,W6R3,DOOR_TO_DOOR
06-Aduki,W6R4,W6R4,DOOR_TO_DOOR
06-Aduki,W6R5,W6R5,DOOR_TO_DOOR
07-Lohvan,W7R1,W7R1,DOOR_TO_DOOR
07-Lohvan,W7R2,W7R2,DOOR_TO_DOOR
07-Lohvan,W7R3,W7R3,DOOR_TO_DOOR
07-Lohvan,W7R4,W7R4,DOOR_TO_DOOR
08-Atas,W8R1,W8R1,DOOR_TO_DOOR
08-Atas,W8R2,W8R2,DOOR_TO_DOOR
09-Gandhi Nagar,W9R1,W9R1,DOOR_TO_DOOR
10-Aurangabad First,W10R1,W10R1,DOOR_TO_DOOR
10-Aurangabad First,W10R2,W10R2,DOOR_TO_DOOR
11-Tarsi,W11R1,W11R1,DOOR_TO_DOOR
12-Radhe Shyam Colony,W12ER3,W12ER3,DOOR_TO_DOOR
12-Radhe Shyam Colony,W12MR1,W12MR1,DOOR_TO_DOOR
12-Radhe Shyam Colony,W12R1,W12R1,DOOR_TO_DOOR
12-Radhe Shyam Colony,W12R2,W12R2,DOOR_TO_DOOR
13-Sunrakh,W13R1,W13R1,DOOR_TO_DOOR
13-Sunrakh,W13R2,W13R2,DOOR_TO_DOOR
13-Sunrakh,W13R3,W13R3,DOOR_TO_DOOR
14-Lakshmi Nagar Yamunapar,W14R1,W14R1,DOOR_TO_DOOR
14-Lakshmi Nagar Yamunapar,W14R2,W14R2,DOOR_TO_DOOR
15-Maholi First,W15R1,W15R1,DOOR_TO_DOOR
15-Maholi First,W15R2,W15R2,DOOR_TO_DOOR
16-Bakalpur,W16R1,W16R1,DOOR_TO_DOOR
16-Bakalpur,W16R2,W16R2,DOOR_TO_DOOR
16-Bakalpur,W16R3,W16R3,DOOR_TO_DOOR
16-Bakalpur,W16R4,W16R4,DOOR_TO_DOOR
16-Bakalpur,W16R5,W16R5,DOOR_TO_DOOR
16-Bakalpur,W16R6,W16R6,DOOR_TO_DOOR
17-Bairaagpura,W17R1,W17R1,DOOR_TO_DOOR
18-General ganj,W18R1,W18R1,DOOR_TO_DOOR
18-General ganj,W18R2,W18R2,DOOR_TO_DOOR
18-General ganj,W18R3,W18R3,DOOR_TO_DOOR
19-Ramnagar Yamunapar,W19R1,W19R1,DOOR_TO_DOOR
19-Ramnagar Yamunapar,W19R2,W19R2,DOOR_TO_DOOR
19-Ramnagar Yamunapar,W19R3,W19R3,DOOR_TO_DOOR
19-Ramnagar Yamunapar,W19R4,W19R4,DOOR_TO_DOOR
20-Krishna Nagar First,W20R1,W20R1,DOOR_TO_DOOR
20-Krishna Nagar First,W20R2,W20R2,DOOR_TO_DOOR
21-Chaitanya Bihar,W21R1,W21R1,DOOR_TO_DOOR
21-Chaitanya Bihar,W21R2,W21R2,DOOR_TO_DOOR
21-Chaitanya Bihar,W21R3,W21R3,DOOR_TO_DOOR
21-Chaitanya Bihar,W21R4,W21R4,DOOR_TO_DOOR
21-Chaitanya Bihar,W21R5,W21R5,DOOR_TO_DOOR
21-Chaitanya Bihar,W21R6(C),W21R6(C),DOOR_TO_DOOR
22-Badhri Nagar,W22R1,W22R1,DOOR_TO_DOOR
22-Badhri Nagar,W22R2,W22R2,DOOR_TO_DOOR
23-Aheer Pada,W23R1,W23R1,DOOR_TO_DOOR
23-Aheer Pada,W23R2,W23R2,DOOR_TO_DOOR
24-Sarai Azamabad,W24MR1,W24MR1,DOOR_TO_DOOR
24-Sarai Azamabad,W24R1,W24R1,DOOR_TO_DOOR
24-Sarai Azamabad,W24R2,W24R2,DOOR_TO_DOOR
24-Sarai Azamabad,W24R3,W24R3,DOOR_TO_DOOR
24-Sarai Azamabad,W24R4(C),W24R4(C),DOOR_TO_DOOR
24-Sarai Azamabad,W24R5,W24R5,DOOR_TO_DOOR
25-Chharaura,W25R1,W25R1,DOOR_TO_DOOR
25-Chharaura,W25R2,W25R2,DOOR_TO_DOOR
26-Naya Nagla,W26R1,W26R1,DOOR_TO_DOOR
26-Naya Nagla,W26R2,W26R2,DOOR_TO_DOOR
27-Baad,W27R1,W27R1,DOOR_TO_DOOR
27-Baad,W27R2,W27R2,DOOR_TO_DOOR
27-Baad,W27R3,W27R3,DOOR_TO_DOOR
27-Baad,W27R4,W27R4,DOOR_TO_DOOR
27-Baad,W27R5,W27R5,DOOR_TO_DOOR
28-Aurangabad Second,W28R1,W28R1,DOOR_TO_DOOR
28-Aurangabad Second,W28R2,W28R2,DOOR_TO_DOOR
29-Koyla Alipur,W29R1,W29R1,DOOR_TO_DOOR
30-Krishna Nagar Second,W30R1,W30R1,DOOR_TO_DOOR
30-Krishna Nagar Second,W30R2,W30R2,DOOR_TO_DOOR
31-Navneet Nagar,W31R1,W31R1,DOOR_TO_DOOR
31-Navneet Nagar,W31R2,W31R2,DOOR_TO_DOOR
31-Navneet Nagar,W31R3,W31R3,DOOR_TO_DOOR
32-Ranchibagar,W32R1,W32R1,DOOR_TO_DOOR
32-Ranchibagar,W32R2,W32R2,DOOR_TO_DOOR
32-Ranchibagar,W32R3,W32R3,DOOR_TO_DOOR
32-Ranchibagar,W32R4,W32R4,DOOR_TO_DOOR
33-Palikhera,W33R1,W33R1,DOOR_TO_DOOR
33-Palikhera,W33R2,W33R2,DOOR_TO_DOOR
33-Palikhera,W33R3,W33R3,DOOR_TO_DOOR
33-Palikhera,W33R4,W33R4,DOOR_TO_DOOR
33-Palikhera,W33R5,W33R5,DOOR_TO_DOOR
34-Radhaniwas,W34R1,W34R1,DOOR_TO_DOOR
34-Radhaniwas,W34R2,W34R2,DOOR_TO_DOOR
34-Radhaniwas,W34R3,W34R3,DOOR_TO_DOOR
34-Radhaniwas,W34WBR1,W34WBR1,DOOR_TO_DOOR
35-Bankhandi,W35MR1,W35MR1,DOOR_TO_DOOR
35-Bankhandi,W35R1,W35R1,DOOR_TO_DOOR
35-Bankhandi,W35R2,W35R2,DOOR_TO_DOOR
36-Jaisingh Pura,W36R1,W36R1,DOOR_TO_DOOR
36-Jaisingh Pura,W36R2,W36R2,DOOR_TO_DOOR
36-Jaisingh Pura,W36R3,W36R3,DOOR_TO_DOOR
37-Baldevpuri,W37R1,W37R1,DOOR_TO_DOOR
37-Baldevpuri,W37R2,W37R2,DOOR_TO_DOOR
38-Civil Lines,W38R1,W38R1,DOOR_TO_DOOR
38-Civil Lines,W38R2,W38R2,DOOR_TO_DOOR
