"S.No.","Zone & Circle","Ward Name","Vehicle Number","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time"
"1","3","41-Dhaulipiau","UP85AG0756","W41R3","104","105","0","100","12-01-2026","07:16 AM","08:42 PM"
"2","1","04-Ishapur Yamunapar","UP85FT2581","W4R2","374","376","0","100","27-01-2026","08:00 AM","11:46 AM"
"3","1","65-Holi Gali","M054 UP14PT7728","W65R3","153","153","0","100","04-01-2026","06:41 AM","01:10 PM"
"4","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","120","120","0","100","29-01-2026","08:51 AM","10:25 AM"
"5","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","120","120","0","100","30-01-2026","08:21 AM","11:48 AM"
"6","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","118","118","0","100","17-01-2026","08:12 AM","10:58 AM"
"7","3","59-Maholi Second","M233 UP85ET 7835","W59R2","112","112","0","100","04-01-2026","08:27 AM","09:22 AM"
"8","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","96","96","0","100","09-01-2026","08:21 AM","11:01 AM"
"9","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","95","95","0","100","06-01-2026","07:31 AM","09:54 AM"
"10","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","95","95","0","100","04-01-2026","08:10 AM","09:32 AM"
"11","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","94","94","0","100","02-01-2026","08:07 AM","10:07 AM"
"12","1","65-Holi Gali","M232 UP85ET 7839_C","W65R5","94","94","0","100","01-01-2026","07:43 AM","10:14 AM"
"13","1","64-Ghati Bahalray","RJ06GD1038","W64R1","92","92","0","100","02-01-2026","07:04 AM","11:10 AM"
"14","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","89","89","0","100","19-01-2026","07:40 AM","12:41 PM"
"15","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","89","89","0","100","18-01-2026","07:50 AM","10:38 AM"
"16","1","05-Bharatpur Gate","UP16RT3856","W5R2","83","83","0","100","23-01-2026","08:00 AM","12:18 PM"
"17","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","03-01-2026","07:42 AM","10:17 AM"
"18","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","04-01-2026","07:35 AM","10:16 AM"
"19","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","08-01-2026","08:05 AM","10:38 AM"
"20","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","06-01-2026","08:12 AM","11:01 AM"
"21","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","80","0","100","05-01-2026","08:06 AM","10:45 AM"
"22","3","59-Maholi Second","UP85AG0777","W59R3","77","77","0","100","07-01-2026","07:39 AM","10:32 AM"
"23","2","56-Mandi Randas","M016 UP14PT7747","W56R3","57","57","0","100","02-01-2026","07:45 AM","11:08 AM"
"24","2","56-Mandi Randas","M016 UP14PT7747","W56R3","57","57","0","100","05-01-2026","07:02 AM","10:43 AM"
"25","1","65-Holi Gali","UP14PT7749","W65R1","38","38","0","100","09-01-2026","07:19 AM","12:44 PM"
"26","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","37","37","0","100","30-01-2026","08:07 AM","09:54 AM"
"27","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","37","37","0","100","28-01-2026","09:17 AM","10:50 AM"
"28","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","18-01-2026","07:54 AM","10:25 AM"
"29","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","13-01-2026","07:23 AM","08:44 AM"
"30","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","25-01-2026","07:51 AM","09:25 AM"
"31","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","26-01-2026","08:05 AM","10:20 AM"
"32","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","15-01-2026","08:10 AM","11:44 AM"
"33","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","27-01-2026","07:50 AM","09:47 AM"
"34","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","19-01-2026","07:57 AM","09:57 AM"
"35","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","36","36","0","100","24-01-2026","08:16 AM","09:40 AM"
"36","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","35","35","0","100","10-01-2026","08:26 AM","09:00 AM"
"37","2","56-Mandi Randas","M053 UP85AG0769","W56R2","28","28","0","100","23-01-2026","08:12 AM","11:26 AM"
"38","2","56-Mandi Randas","M053 UP85AG0769","W56R2","28","28","0","100","22-01-2026","08:08 AM","09:52 AM"
"39","2","56-Mandi Randas","M053 UP85AG0769","W56R2","28","28","0","100","25-01-2026","08:12 AM","11:50 AM"
"40","2","56-Mandi Randas","M262 UP85ET 7851","W56R5","26","26","0","100","20-01-2026","09:20 AM","09:45 AM"
"41","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","21","0","100","05-01-2026","09:17 AM","11:31 AM"
