"S.No","Zone & Circle","Vehicle Number","Vehicle Type","Ward Name","Trip Count","Dump Site Name","Date","In Time(s)","Out Time(s)","Vehicle Route","TAT"
"1","3","UP85FT2588","Primary - Auto Tipper","32-Ranchibagar","2","Mathura MSW Plant","10-01-2026","09:38 AM | 03:08 PM","09:40 AM | 03:09 PM","W32R1","1"
"2","4","UP85FT2584","Primary - Auto Tipper","62-Mathura Darwaza","1","FCTS PLANT","10-01-2026","01:37 PM","02:07 PM","W69R2","30"
"3","2","UP85FT2577","Primary - Auto Tipper","46-Radha Nagar","1","Mathura MSW Plant","10-01-2026","10:42 AM","10:46 AM","W46R1","3"
"4","2","UP85FT 2574","Primary - Auto Tipper","17-Bairaagpura","2","Mathura MSW Plant","10-01-2026","12:56 PM | 01:04 PM","12:57 PM | 01:06 PM","","1"
"5","4","UP85ET7858","Primary - Auto Tipper","13-Sunrakh","2","FCTS PLANT","10-01-2026","11:59 AM | 12:38 PM","12:18 PM | 12:49 PM","W13R4","14"
"6","4","UP85ET7857","Primary - Auto Tipper","67-Kemar Van","2","FCTS PLANT","10-01-2026","10:07 AM | 12:12 PM","10:28 AM | 12:18 PM","W67R2","13"
"7","4","UP85ET 7856","Primary - Auto Tipper","34-Radhaniwas","3","FCTS PLANT","10-01-2026","10:18 AM | 12:27 PM | 01:32 PM","10:19 AM | 12:37 PM | 01:33 PM","W34R1","3"
"8","3","UP85AT4024","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","10-01-2026","09:23 AM | 11:53 AM","09:24 AM | 11:59 AM","","3"
"9","3","UP85AT4023","Secondary - Tractor Trolley","01-Birjapur","1","Mathura MSW Plant","10-01-2026","12:45 PM","12:47 PM","","2"
"10","3","UP85AT4022","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","10-01-2026","08:59 AM | 12:10 PM","09:09 AM | 12:17 PM","","8"
"11","4","UP85AG0964","Primary - Auto Tipper","25-Chharaura","1","FCTS PLANT","10-01-2026","10:42 AM","10:50 AM","W25R1","7"
"12","3","UP85AG0879","Secondary - Tractor Trolley","01-Birjapur","3","Mathura MSW Plant","10-01-2026","11:03 AM | 12:39 PM | 12:48 PM","11:07 AM | 12:41 PM | 12:50 PM","","2"
"13","3","UP85AG0848","Secondary - Dumper","01-Birjapur","1","Mathura MSW Plant","10-01-2026","12:22 PM","12:28 PM","","5"
"14","3","UP85AG0842","Secondary - JCB 3DX","01-Birjapur","1","RC Sonveer","10-01-2026","12:29 PM","12:30 PM","","1"
"15","3","UP85AG0834","Secondary - Dumper","01-Birjapur","1","Mathura MSW Plant","10-01-2026","01:10 PM","01:16 PM","","5"
"16","3","UP85AG0825","Secondary - Dumper","01-Birjapur","1","FCTS PLANT","10-01-2026","01:41 PM","01:42 PM","","1"
"17","3","UP85AG0823","Secondary - Hook Loader","01-Birjapur","3","FCTS PLANT","10-01-2026","08:08 AM | 09:56 AM | 01:59 PM","08:15 AM | 12:21 PM | 02:06 PM","","52"
"18","3","UP85AG0823","Secondary - Hook Loader","01-Birjapur","2","Mathura MSW Plant","10-01-2026","01:03 PM | 02:43 PM","01:06 PM | 02:45 PM","","1"
"19","3","UP85AG0821","Secondary - Dumper","01-Birjapur","3","Mathura MSW Plant","10-01-2026","10:41 AM | 01:37 PM | 03:05 PM","10:50 AM | 01:41 PM | 03:10 PM","","5"
"20","3","UP85AG0819","Tractor Trolly","01-Birjapur","2","Mathura MSW Plant","10-01-2026","11:08 AM | 01:50 PM","11:17 AM | 01:55 PM","","6"
"21","3","UP85AG0817","Secondary - Tractor Trolley","01-Birjapur","1","Mathura MSW Plant","10-01-2026","10:54 AM","10:56 AM","","2"
"22","3","UP85AG0816","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","10-01-2026","08:37 AM | 11:30 AM","08:44 AM | 11:41 AM","","8"
"23","4","UP85AG0804","Primary - Auto Tipper","21-Chaitanya Bihar","1","FCTS PLANT","10-01-2026","07:40 AM","07:47 AM","W21R6(C)","7"
"24","3","UP85AG0756","Primary - Auto Tipper","57-Balajipuram","2","Mathura MSW Plant","10-01-2026","09:13 AM | 02:12 PM","09:15 AM | 02:13 PM","W57R2,W41R3","1"
"25","3","UP85AG0747","Secondary - Tractor Loader","01-Birjapur","1","Mathura MSW Plant","10-01-2026","08:52 AM","09:06 AM","","13"
"26","3","UP85AG0746","Secondary - Tractor Trolley","01-Birjapur","1","Mathura MSW Plant","10-01-2026","12:31 PM","12:36 PM","","4"
"27","3","UP85AG0744","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","10-01-2026","08:54 AM | 12:04 PM","09:05 AM | 12:19 PM","","12"
"28","3","UP85AG0743","Secondary - Tractor Trolley","01-Birjapur","1","Mathura MSW Plant","10-01-2026","08:57 AM","09:04 AM","","7"
"29","3","UP85AG0726","Secondary - Refuse Compactor (RC)","01-Birjapur","1","Mathura MSW Plant","10-01-2026","01:04 PM","01:05 PM","","1"
