"S.No","Zone & Circle","Ward Name","Vehicle Number","Vehicle Type","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time","Route Time"
1,"Z2-C1","56-Mandi Randas","M262 UP85ET 7851","Primary - Auto Tipper","W56R5_C",104,104,0,100,"27-04-2026","07:13 AM","09:08 AM","1:55"
2,"Z2-C1","56-Mandi Randas","M268 UP85ET 7848","Primary - Auto Tipper","W56R4_C",48,48,0,100,"27-04-2026","07:21 AM","09:01 AM","1:39"
3,"Z2-C1","55-Govind Nagar","MUP85AG0798","Primary - Auto Tipper","W55R2",936,932,4,99,"27-04-2026","06:11 AM","10:10 AM","3:59"
4,"Z2-C1","30-Krishna Nagar Second","M127   UP85AG0762","Primary - Auto Tipper","W30ER1",584,581,3,99,"27-04-2026","06:22 AM","10:30 AM","4:07"
5,"Z1-C1","53-Krishna Puri","MR048-70145701","Primary - Manual Rickshaw","W53MR1",292,290,2,99,"27-04-2026","06:22 AM","10:20 AM","3:58"
6,"Z4-C1","51-Gaushala Nagar","M007 UP14PT7719_C","Primary - Auto Tipper","W51R4_N",927,919,8,99,"27-04-2026","06:04 AM","10:20 AM","4:15"
7,"Z1-C1","65-Holi Gali","M232 UP85ET 7839_C","Primary - Auto Tipper","W65R5_C",393,389,4,98,"27-04-2026","07:19 AM","09:55 AM","2:36"
8,"Z1-C1","02-Ambedkar Nagar","MR029-70145446","Primary - Manual Rickshaw","W2T2",258,255,3,98,"27-04-2026","07:34 AM","09:17 AM","1:43"
9,"Z4-C1","70-Biharipur","MR014-70147624","Primary - Manual Rickshaw","W70MR1",250,247,3,98,"27-04-2026","07:14 AM","09:55 AM","2:40"
10,"Z2-C1","55-Govind Nagar","M017 UP14PT7724","Primary - Auto Tipper","W55R3",878,866,12,98,"27-04-2026","06:09 AM","10:30 AM","4:21"
11,"Z2-C1","12-Radhe Shyam Colony","MR013-70147533","Primary - Manual Rickshaw","W12MR1",219,216,3,98,"27-04-2026","06:28 AM","09:47 AM","3:19"
12,"Z1-C1","40-Rajkumar","UP16RT3822","Primary - AUTO TIPPER EV","W40R2",198,195,3,98,"27-04-2026","06:35 AM","09:38 AM","3:02"
13,"Z4-C1","21-Chaitanya Bihar","M105   UP85AG0800","Primary - Auto Tipper","W21R3",263,259,4,98,"27-04-2026","06:19 AM","10:19 AM","4:00"
14,"Z2-C1","56-Mandi Randas","MR004-70147590","Primary - Wheel Barrow","W56WBR2",131,129,2,98,"27-04-2026","08:16 AM","09:32 AM","1:16"
15,"Z2-C1","47-Dwarkapuri","M236 UP85ET 7830","Primary - Auto Tipper","W47R1",945,930,15,98,"27-04-2026","06:15 AM","10:28 AM","4:13"
16,"Z3-C1","59-Maholi Second","UP85AG0777","Primary - Auto Tipper","W59R1",898,880,18,97,"27-04-2026","06:28 AM","10:26 AM","3:58"
17,"Z1-C1","53-Krishna Puri","M055 UP85AG0891_C","Primary - Auto Tipper","W53R1",921,902,19,97,"27-04-2026","06:35 AM","08:43 AM","2:07"
18,"Z2-C1","30-Krishna Nagar Second","M127   UP85AG0762","Primary - Auto Tipper","W30R2",776,759,17,97,"27-04-2026","06:28 AM","09:17 AM","2:49"
