S.No.,QR Code ID,Site Name,Zone & Circle,Ward,Building/Street,Type,Latitude,Longitude,Date,Time
1,MVNNDG90,Aryan,2,60-Jagannath Puri,Aman Nath School,Dhalao Ghar,27.499584,77.66987,14-11-2025,02:07 PM
2,MVNNDB2,Anshu,1,49-Daimpiriyal Nagar,Vikash pradhikaran,Dustbin,27.495273,77.678261,07-11-2025,12:05 PM
3,MVNNDB1,Anshu,1,49-Daimpiriyal Nagar,SELECTION POINT,Dustbin,27.492883,77.679059,06-11-2025,12:44 PM
4,MVNNDG87,DEEPAK -(UNDERGROUND DUSTBIN),3,52-Chandrapuri,INDUSTRIAL AREA,Dhalao Ghar,27.471803,77.664784,03-11-2025,01:29 PM
5,MVNNDG86,AMAN- (UNDERGROUND DUSTBIN),3,38-Civil Lines,CIVIL LINES ,Dhalao Ghar,27.47576,77.694124,03-11-2025,01:27 PM
6,MVNNDG85,AMAN-(UNDER GROUND),3,38-Civil Lines,NEAR NAGAR AYUKT HOME ,Dhalao Ghar,27.462215,77.697723,03-11-2025,01:22 PM
9,MVNNDG84,AMAN,3,38-Civil Lines,Janakpuri officer colony baccha Jail ke samne,Dhalao Ghar,27.461455,77.674227,03-11-2025,01:08 PM
10,MVNNDG83,AMAN,3,38-Civil Lines,chanakapuri officer colony,Dhalao Ghar,27.461455,77.674227,03-11-2025,01:08 PM
11,MVNNDG82,DILIP SINGH ,3,06-Aduki,Navada school ke pass,Dhalao Ghar,27.445498,77.688422,03-11-2025,01:07 PM
12,MVNNDG81,ANIL BAGHEL ,3,32-Ranchibagar,Kadam Vihar Colony Road,Dhalao Ghar,77.700171,27.427794,03-11-2025,01:05 PM
13,MVNNDG80,ANIL BAGHEL,3,32-Ranchibagar,SABJI MANDI ON ROAD ,Dhalao Ghar,27.424784,77.69704,03-11-2025,01:04 PM
14,MVNNDG79,SONVEER,3,33-Palikhera,Chandra Green Heights,Dhalao Ghar,27.477459,77.657591,03-11-2025,01:02 PM
15,MVNNDG78,ANKIT,3,59-Maholi Second,Jai Gurudev Mandir Ke pass,Dhalao Ghar,27.481146,77.656433,03-11-2025,01:01 PM
16,MVNNDG77,AMAN,3,41-Dhaulipiau,"DHOLI PIYAU ,POKHAR ",Dhalao Ghar,27.473712,77.673807,03-11-2025,12:59 PM
17,MVNNDG76,AMAN,3,38-Civil Lines,"DAMODARPURA, SHANI DEV MANDIR",Dhalao Ghar,27.456258,77.703953,03-11-2025,12:58 PM
18,MVNNDG75,AMAN,3,38-Civil Lines,"DAMODARPURA,DAMODARPURA GATE KE SAMNE ",Dhalao Ghar,27.453026,77.705959,03-11-2025,12:57 PM
19,MVNNDG74,DILIP SINGH ,3,10-Aurangabad First,SHAUCHALAY KE PASS,Dhalao Ghar,27.445872,77.706472,03-11-2025,12:56 PM
20,MVNNDG73,DILIP SINGH ,3,10-Aurangabad First,BAIRAJ MOD,Dhalao Ghar,27.435404,77.701617,03-11-2025,12:55 PM
21,MVNNDG72,ANKIT,3,01-Birjapur,Ambedkar park,Dhalao Ghar,27.457955,77.679176,03-11-2025,12:53 PM
22,MVNNDG71,ANKIT,3,01-Birjapur,birzapur shauchalay ke pass,Dhalao Ghar,27.456451,77.680627,03-11-2025,12:48 PM
23,MVNNDG70,AMAN,3,41-Dhaulipiau,muskan hotel ke samne,Dhalao Ghar,27.479818,77.677701,03-11-2025,12:42 PM
24,MVNNDG69,AMAN,3,41-Dhaulipiau,Vijay baar ke samne,Dhalao Ghar,27.489002,77.677515,03-11-2025,12:41 PM
25,MVNNDG68,SONVEER,3,59-Maholi Second,Pushpanjali  Road Mathura Lajpat Nagar,Dhalao Ghar,27.480218,77.656521,03-11-2025,12:39 PM
26,MVNNDG67,VEERESH-(Underground  Dustbin),2,37-Baldevpuri,MAHOLI ROAD,Dhalao Ghar,27.481012,77.658234,03-11-2025,12:38 PM
27,MVNNDG66,GAURAV,2,44-Radhika Bihar,"TVS POINT ,HALDIRAM KE SAMNE ",Dhalao Ghar,27.493168,77.65721,03-11-2025,12:23 PM
28,MVNNDG65,MANISH,2,03-Girdharpur,GIRDHARPUR GAO,Dhalao Ghar,27.498612,77.635904,03-11-2025,12:22 PM
29,MVNNDG64,SACHIN,2,16-Bakalpur,shriji baba school,Dhalao Ghar,27.498807,77.637736,03-11-2025,12:21 PM
30,MVNNDG63,SANJIV,2,56-Mandi Randas,DWARIKADHEESH MANDIR ,Dhalao Ghar,27.506118,77.68409251,03-11-2025,12:20 PM
31,MVNNDG62,VIKASH,2,20-Krishna Nagar First, Opposite Mayank Gas Agency,Dhalao Ghar,27.501018,77.661684,03-11-2025,12:19 PM
32,MVNNDG61,VIKASH,2,30-Krishna Nagar Second,Near Income Tax Department,Dhalao Ghar,27.495787,77.65452,03-11-2025,12:16 PM
33,MVNNDG60,ANSHU,2,47-Dwarkapuri,BSA  puliya,Dhalao Ghar,27.496668,77.682024,03-11-2025,12:15 PM
34,MVNNDG59,SANJIV,2,58-Gau Ghat,near jay shree colony gaughat,Dhalao Ghar,27.511527,77.675048,01-11-2025,05:14 PM
35,MVNNDG58,SURENDRA,2,46-Radha Nagar,KRISHNA NAGAR ,Dhalao Ghar,27.503578,77.657387,01-11-2025,05:13 PM
36,MVNNDG57,SURENDRA,2,55-Govind Nagar,GOIND NAGAR,Dhalao Ghar,27.506409,77.662988,01-11-2025,05:12 PM
37,MVNNDG56,ARYAN ,2,60-Jagannath Puri,POTRA KUND,Dhalao Ghar,27.50451,77.666534,01-11-2025,05:10 PM
